Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
835,23/12/2006,Premier League,Matchweek 19,Away,Manchester Utd,Aston Villa,Y,Right Foot,58,3-0,Gábor Király,No assist,7,21,1
836,23/12/2006,Premier League,Matchweek 19,Away,Manchester Utd,Aston Villa,Y,Right Foot,85,3-0,Gábor Király,Gary Neville,7,21,1
837,09/12/2006,Premier League,Matchweek 17,Home,Manchester Utd,Manchester City,Y,Right Foot,84,3-1,Weaver,No assist,7,21,1
838,29/11/2006,Premier League,Matchweek 15,Home,Manchester Utd,Everton,Y,Right Foot,39,3-0,Richard Wright,No assist,7,21,1
839,15/11/2006,UEFA Euro Qualifying,Group stage,Home,Portugal,Kazakhstan,Y,Right Foot,30,1-0,David Loria,No assist,7,21,1
840,04/11/2006,Premier League,Matchweek 11,Home,Manchester Utd,Portsmouth,Y,Right Foot,10,3-0,David James,Free kick,7,21,1
841,28/10/2006,Premier League,Matchweek 10,Away,Manchester Utd,Bolton,Y,Right Foot,82,4-0,Jussi Jaaskelainen,Louis Saha,7,21,1
842,07/10/2006,UEFA Euro Qualifying,Group stage,Home,Portugal,Azerbaijan,Y,Head,63,3-0,Farhad Valiyev,Simao,7,21,1
843,07/10/2006,UEFA Euro Qualifying,Group stage,Home,Portugal,Azerbaijan,Y,Left Foot,24,2-0,Farhad Valiyev,Deco,7,21,1
844,23/09/2006,Premier League,Matchweek 6,Away,Manchester Utd,Reading,Y,Right Foot,73,1-1,Marcus Hahnemann,John O'Shea,7,21,1
845,20/08/2006,Premier League,Matchweek 1,Home,Manchester Utd,Fulham,Y,Right Foot,19,5-1,Antti Niemi,Wayne Rooney,7,21,1
846,17/06/2006,World Cup,Group stage,Neutral,Portugal,Iran,Y,Right Foot,80,1-0,Ebrahim Mirzapour,Penalti,7,21,1
847,07/05/2006,Premier League,Matchweek 38,Home,Manchester Utd,Charlton Ath,Y,Right Foot,23,4-0,Stephan Andersen,Wes Brown,7,21,1
848,06/03/2006,Premier League,Matchweek 28,Away,Manchester Utd,Wigan Athletic,Y,Right Foot,74,2-1,John Filan,Ruud van Nistelrooy,7,21,1
849,01/03/2006,International Frendly,Frendly,Neutral,Portugal,Arabia SaudÃ­,Y,Head,30,1-0,Mohamed Al Deayea,Luis Figo,7,21,1
850,01/03/2006,International Frendly,Frendly,Neutral,Portugal,Arabia SaudÃ­,Y,Left Foot,86,3-0,Mohamed Al Deayea,Hugo Viana,7,21,1
851,26/02/2006,EFL Cup,Final,Away,Manchester Utd,Wigan Athletic,Y,Right Foot,59,4-0,Mike Pollit,Louis Saha,7,21,1
852,11/02/2006,Premier League,Matchweek 26,Away,Manchester Utd,Portsmouth,Y,Right Foot,45+1,3-1,Dean Kiely,Wayne Rooney,7,21,1
853,11/02/2006,Premier League,Matchweek 26,Away,Manchester Utd,Portsmouth,Y,Left Foot,38,3-1,Dean Kiely,No assist,7,21,1
854,04/02/2006,Premier League,Matchweek 25,Home,Manchester Utd,Fulham,Y,Right Foot,86,4-2,Antti Niemi,No assist,7,21,1
855,04/02/2006,Premier League,Matchweek 25,Home,Manchester Utd,Fulham,Y,Right Foot,14,4-2,Antti Niemi,Free kick,7,21,1
856,31/12/2005,Premier League,Matchweek 20,Home,Manchester Utd,Bolton,Y,Right Foot,68,4-1,Jussi Jaaskelainen,Wayne Rooney,7,20,1
857,31/12/2005,Premier League,Matchweek 20,Home,Manchester Utd,Bolton,Y,Left Foot,90,4-1,Jussi Jaaskelainen,Ruud van Nistelrooy,7,20,1
858,30/11/2005,EFL Cup,Round of 16,Home,Manchester Utd,West Brom,Y,Right Foot,12,3-1,Russel Hoult,Penalti,7,20,1
859,29/10/2005,Premier League,Matchweek 11,Away,Manchester Utd,Middlesbrough,N,Head,90+4,4-1,Mark Schwarzer,Paul Scholes,7,20,1
860,09/08/2005,Champions League Qualification,Third qualifying round,Home,Manchester Utd,Debrecen,Y,Right Foot,63,3-0,Csernyanszki,No assist,7,20,1
861,08/06/2005,WCQ,First round,Away,Portugal,Estonia,Y,Head,32,0-0,Artur Kotenko,Luis Figo,7,20,1
862,04/06/2005,WCQ,First round,Home,Portugal,Slovakia,Y,Right Foot,42,1-0,Kamil Contofalsky,No assist,7,20,1
863,17/04/2005,FA Cup,Semi-finals,Home,Manchester Utd,Newcastle Utd,Y,Right Foot,76,4-1,Shay Given,Ruud van Nistelrooy,7,20,1
864,19/03/2005,Premier League,Matchweek 30,Home,Manchester Utd,Fulham,Y,Right Foot,21,1-0,Edwin van der Sar,Roy Keane,7,20,1
865,12/03/2005,FA Cup,Round 6,Away,Manchester Utd,Southampton,Y,Left Foot,45+1,4-0,Paul Smith,Ruud van Nistelrooy,7,20,1
866,19/02/2005,FA Cup,Round 5,Away,Manchester Utd,Everton,Y,Left Foot,58,2-0,Nigel Martyn,Paul Scholes,7,20,1
867,01/02/2005,Premier League,Matchweek 25,Away,Manchester Utd,Arsenal,Y,Left Foot,58,4-2,Manuel Almunia,Ryan Giggs,7,20,1
868,01/02/2005,Premier League,Matchweek 25,Away,Manchester Utd,Arsenal,Y,Left Foot,54,4-2,Manuel Almunia,Ryan Giggs,7,20,1
869,22/01/2005,Premier League,Matchweek 24,Home,Manchester Utd,Aston Villa,Y,Right Foot,8,3-1,Thomas Sorensen,Louis Saha,7,19,1
870,19/01/2005,FA Cup,Third round decisive matches,Away,Manchester Utd,Exeter City,Y,Left Foot,9,2-0,Paul Jones,Paul Scholes,7,19,1
871,04/12/2004,Premier League,Matchweek 16,Home,Manchester Utd,Southampton,Y,Right Foot,87,3-0,Kasey Keller,Gary Neville,7,19,1
872,17/11/2004,WCQ,First round,Away,Portugal,Luxembourg,Y,Head,28,1-0,Alija Besic,Deco,7,19,1
873,13/10/2004,WCQ,First round,Home,Portugal,Russia,Y,Right Foot,69,3-0,Vyacheslav Malafeev,No assist,7,19,1
874,13/10/2004,WCQ,First round,Home,Portugal,Russia,Y,Left Foot,39,3-0,Vyacheslav Malafeev,Pauleta,7,19,1
875,08/09/2004,WCQ,First round,Home,Portugal,Estonia,Y,Head,75,0-0,Mart Poom,Fernando Meira,7,19,1
876,04/09/2004,WCQ,First round,Away,Portugal,Latvia,Y,Left Foot,57,0-0,Aleksandrs Kolinko,No assist,7,19,1
877,30/06/2004,UEFA Euro,Semi-finals,Home,Portugal,Netherlands,Y,Head,26,0-0,Edwin van der Sar,Deco,7,19,1
878,12/06/2004,UEFA Euro,Group stage,Home,Portugal,Greece,N,Head,93,0-2,Antonios Nikopolidis,Luis Figo,7,19,1
879,22/05/2004,FA Cup,Final,Away,Manchester Utd,Millwall FC,Y,Head,44,3-0,Andy Marshall,Gary Neville,7,19,1
880,15/05/2004,Premier League,Matchweek 38,Away,Manchester Utd,Aston Villa,Y,Right Foot,4,2-0,Thomas Sorensen,No assist,7,19,1
881,10/04/2004,Premier League,Matchweek 32,Away,Manchester Utd,Birmingham City,N,Head,60,2-1,Maik Taylor,Ryan Giggs,7,19,1
882,20/03/2004,Premier League,Matchweek 29,Home,Manchester Utd,Tottenham,N,Right Foot,89,3-0,Kasey Keller,Roy Keane,7,19,1
883,14/02/2004,FA Cup,Round 5,Home,Manchester Utd,Manchester City,Y,Right Foot,74,4-2,Ãrni Arason,No assist,7,19,1
884,01/11/2003,Premier League,Matchweek 11,Home,Manchester Utd,Portsmouth,N,Right Foot,80,3-0,Shaka Hislop,No assist,7,18,1
885,18/12/2002,Taca de Portugal,Round 5,Home,Sporting CP,FC Oliveira do Hospital,Y,Left Foot,13,8-1,No data,No assist,28,17,1
886,24/11/2002,Taca de Portugal,Round 4,Home,Sporting CP,CD Estarreja,N,Left Foot,67,4-1,No data,Cesar Prates,28,17,1
887,26/10/2002,Primeira Liga,Matchweek 8,Away,Sporting CP,Boavista,N,Right Foot,88,2-1,Carlos Martins,Tiago Ferreira,28,17,1
888,07/10/2002,Primeira Liga,Matchweek 6,Home,Sporting CP,Moreirense,Y,Head,90,3-0,Roberto Volpato,Rui Jorge,28,17,1
889,07/10/2002,Primeira Liga,Matchweek 6,Home,Sporting CP,Moreirense,Y,Right Foot,34,3-0,Roberto Volpato,No assist,28,17,1
890,17/08/2011,Supercopa De España,Final,Away,Real Madrid,Barcelona,Y,Right Foot,20,2-3,Víctor Valdés,Karim Benzema,7,16,1
