Rk,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Dorsal,Edad,Goal
691,23/11/2010,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,81,4-0,Maarten Stekelenburg,Penalti,7,25,1
692,23/11/2010,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Left Foot,70,4-0,Maarten Stekelenburg,Angel Di María,7,25,1
693,20/11/2010,La Liga,Matchweek 12,Home,Real Madrid,Athletic Club,Y,Left Foot,30,5-1,Gorka Iraizoz,Mesut Ozil,7,25,1
694,20/11/2010,La Liga,Matchweek 12,Home,Real Madrid,Athletic Club,Y,Right Foot,62,5-1,Gorka Iraizoz,Free kick,7,25,1
695,20/11/2010,La Liga,Matchweek 12,Home,Real Madrid,Athletic Club,Y,Right Foot,90+2,5-1,Gorka Iraizoz,Penalti,7,25,1
696,10/11/2010,Copa del Rey,Round 4,Home,Real Madrid,Real Murcia,N,Left Foot,76,5-1,Dani Hernández,Angel Di María,7,25,1
697,30/10/2010,La Liga,Matchweek 9,Away,Real Madrid,Hércules de Alicante,Y,Head,82,3-1,Juan Calatayud,Karim Benzema,7,25,1
698,30/10/2010,La Liga,Matchweek 9,Away,Real Madrid,Hércules de Alicante,Y,Right Foot,86,3-1,Juan Calatayud,Karim Benzema,7,25,1
699,23/10/2010,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Right Foot,55,6-1,Toño,Penalti,7,25,1
700,23/10/2010,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Right Foot,47,6-1,Toño,Angel Di María,7,25,1
701,23/10/2010,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Left Foot,26,6-1,Toño,Mesut Ozil,7,25,1
702,23/10/2010,La Liga,Matchweek 8,Home,Real Madrid,Racing Sant,Y,Right Foot,15,6-1,Toño,Gonzalo Higuaín,7,25,1
703,19/10/2010,Champions League,Group stage,Home,Real Madrid,AC Milan,Y,Right Foot,13,2-0,Marco Amelia,Free kick,7,25,1
704,16/10/2010,La Liga,Matchweek 7,Away,Real Madrid,Malaga,Y,Right Foot,50,4-1,Rodrigo Galatto,Penalti,7,25,1
705,16/10/2010,La Liga,Matchweek 7,Away,Real Madrid,Malaga,Y,Right Foot,44,4-1,Rodrigo Galatto,Mesut Ozil,7,25,1
706,12/10/2010,UEFA Euro Qualifying,Group stage,Away,Portugal,Iceland,Y*,Right Foot,3,0-0,Gunnleifur Gunnleifsson,Free kick,7,25,1
707,08/10/2010,UEFA Euro Qualifying,Group stage,Home,Portugal,Denmark,Y*,Left Foot,85,2-1,Anders Lindegaard,Nani,7,25,1
708,03/10/2010,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Left Foot,89,6-1,Manu,Xabi Alonso,7,25,1
709,03/10/2010,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Head,4,6-1,Manu,Mesut Ozil,7,25,1
710,21/09/2010,La Liga,Matchweek 4,Home,Real Madrid,Espanyol,Y,Right Foot,28,3-0,Carlos Kameni,Penalti,9,25,1
711,21/06/2010,World Cup,Group stage,Neutral,Portugal,Korea DPR,Y,Right Foot,87,5-0,Ri Myong-guk,Liedson,9,25,1
712,08/05/2010,La Liga,Matchweek 37,Home,Real Madrid,Athletic Club,Y,Right Foot,22,5-1,Gorka Iraizoz,Penalti,9,25,1
713,05/05/2010,La Liga,Matchweek 36,Away,Real Madrid,Mallorca,Y,Right Foot,72,4-1,Dudu Aouate,No assist,9,25,1
714,05/05/2010,La Liga,Matchweek 36,Away,Real Madrid,Mallorca,Y,Right Foot,57,4-1,Dudu Aouate,Sergio Ramos,9,25,1
715,05/05/2010,La Liga,Matchweek 36,Away,Real Madrid,Mallorca,Y,Right Foot,26,4-1,Dudu Aouate,Sergio Ramos,9,25,1
716,02/05/2010,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Head,89,3-2,Ricardo,Gonzalo Higuaín,9,25,1
717,02/05/2010,La Liga,Matchweek 35,Home,Real Madrid,Osasuna,Y,Right Foot,24,3-2,Ricardo,No assist,9,25,1
718,18/04/2010,La Liga,Matchweek 33,Home,Real Madrid,Valencia,Y,Right Foot,78,2-0,César Sánchez,Marcelo ,9,25,1
719,15/04/2010,La Liga,Matchweek 32,Away,Real Madrid,Almería,Y,Left Foot,27,2-1,Diego Alves,No assist,9,25,1
720,04/04/2010,La Liga,Matchweek 30,Away,Real Madrid,Racing Sant,Y,Right Foot,23,2-0,Fabio Coltorti,Penalti,9,25,1
721,25/03/2010,La Liga,Matchweek 28,Away,Real Madrid,Getafe,Y,Right Foot,13,4-2,Ãscar Ustari,Free kick,9,25,1
722,25/03/2010,La Liga,Matchweek 28,Away,Real Madrid,Getafe,Y,Right Foot,37,4-2,Ãscar Ustari,No assist,9,25,1
723,14/03/2010,La Liga,Matchweek 26,Away,Real Madrid,Valladolid,Y,Right Foot,28,4-1,Justo Villar,Free kick,9,25,1
724,10/03/2010,Champions League,Round of 16,Home,Real Madrid,Lyon,Y,Left Foot,6,1-1,Hugo Lloris,Guti,9,25,1
725,06/03/2010,La Liga,Matchweek 25,Home,Real Madrid,Sevilla,Y,Left Foot,59,3-2,Andrés Palop,No assist,9,25,1
726,27/02/2010,La Liga,Matchweek 24,Away,Real Madrid,Tenerife,Y,Right Foot,79,5-1,Sergio Aragoneses,Penalti,9,25,1
727,21/02/2010,La Liga,Matchweek 23,Home,Real Madrid,Villarreal,Y,Right Foot,18,6-2,Diego López,Free kick,9,25,1
728,13/02/2010,La Liga,Matchweek 22,Away,Real Madrid,Xerez,Y,Left Foot,71,3-0,Renan Brito Soares,Kaká,9,25,1
729,13/02/2010,La Liga,Matchweek 22,Away,Real Madrid,Xerez,Y,Head,69,3-0,Renan Brito Soares,Kaká,9,25,1
730,24/01/2010,La Liga,Matchweek 19,Home,Real Madrid,Malaga,Y,Right Foot,39,2-0,Gustavo Munúa,Guti,9,24,1
731,24/01/2010,La Liga,Matchweek 19,Home,Real Madrid,Malaga,Y,Right Foot,35,2-0,Gustavo Munúa,Kaká,9,24,1
732,19/12/2009,La Liga,Matchweek 15,Home,Real Madrid,Zaragoza,Y,Left Foot,49,6-0,Javier López Vallejo,Ezequiel Garay,9,24,1
733,08/12/2009,Champions League,Group stage,Away,Real Madrid,Marseille,Y,Right Foot,5,3-1,Steve Mandanda,Free kick,9,24,1
734,08/12/2009,Champions League,Group stage,Away,Real Madrid,Marseille,Y,Right Foot,80,3-1,Steve Mandanda,Lassana Diarra,9,24,1
735,05/12/2009,La Liga,Matchweek 13,Home,Real Madrid,Almería,Y,Right Foot,84,4-2,Diego Alves,Gonzalo Higuaín,9,24,1
736,30/09/2009,Champions League,Group stage,Home,Real Madrid,Marseille,Y,Head,64,3-0,Steve Mandanda,Karim Benzema,9,24,1
737,30/09/2009,Champions League,Group stage,Home,Real Madrid,Marseille,Y,Left Foot,58,3-0,Steve Mandanda,Pepe,9,24,1
738,23/09/2009,La Liga,Matchweek 4,Away,Real Madrid,Villarreal,Y,Right Foot,1,2-0,Diego López,No assist,9,24,1
739,20/09/2009,La Liga,Matchweek 3,Home,Real Madrid,Xerez,Y,Right Foot,1,5-0,Renan Brito Soares,No assist,9,24,1
740,20/09/2009,La Liga,Matchweek 3,Home,Real Madrid,Xerez,Y,Head,75,5-0,Renan Brito Soares,Esteban Granero,9,24,1
741,15/09/2009,Champions League,Group stage,Away,Real Madrid,Zúrich,Y,Right Foot,89,5-2,Leoni,Free kick,9,24,1
742,15/09/2009,Champions League,Group stage,Away,Real Madrid,Zúrich,Y,Right Foot,27,5-2,Leoni,Free kick,9,24,1
743,12/09/2009,La Liga,Matchweek 2,Away,Real Madrid,Espanyol,N,Right Foot,89,3-0,Carlos Kameni,No assist,7,24,1
744,29/08/2009,La Liga,Matchweek 1,Home,Real Madrid,La Coruña,Y,Right Foot,34,3-2,Daniel Aranzubia,Penalti,7,24,1
745,10/05/2009,Premier League,Matchweek 36,Home,Manchester Utd,Manchester City,Y,Right Foot,18,2-0,Shay Given,Free kick,7,24,1
746,05/05/2009,Champions League,Semi-finals,Away,Manchester Utd,Arsenal,Y,Right Foot,61,3-1,Almunia,Wayne Rooney,7,24,1
747,05/05/2009,Champions League,Semi-finals,Away,Manchester Utd,Arsenal,Y,Right Foot,11,3-1,Almunia,Free kick,7,24,1
748,25/04/2009,Premier League,Matchweek 34,Home,Manchester Utd,Tottenham,Y,Right Foot,57,5-2,Heurelho Gomes,Penalti,7,24,1
749,25/04/2009,Premier League,Matchweek 34,Home,Manchester Utd,Tottenham,Y,Head,68,5-2,Heurelho Gomes,Wayne Rooney,7,24,1
750,15/04/2009,Champions League,Quarter-finals,Away,Manchester Utd,Porto,Y,Right Foot,6,1-0,Helton,Anderson,7,24,1
751,05/04/2009,Premier League,Matchweek 31,Home,Manchester Utd,Aston Villa,Y,Left Foot,80,3-2,Brad Friedel,Michael Carrick,7,24,1
752,05/04/2009,Premier League,Matchweek 31,Home,Manchester Utd,Aston Villa,Y,Right Foot,14,3-2,Brad Friedel,Ryan Giggs,7,24,1
753,14/03/2009,Premier League,Matchweek 29,Home,Manchester Utd,Liverpool,Y,Right Foot,23,1-4,Pepe Reina,Penalti,7,24,1
754,11/03/2009,Champions League,Round of 16,Home,Manchester Utd,Inter,Y,Head,49,2-0,Julio César,Wayne Rooney,7,24,1
755,21/02/2009,Premier League,Matchweek 26,Home,Manchester Utd,Blackburn,Y,Right Foot,60,2-1,Paul Robinson,Free kick,7,24,1
756,15/02/2009,FA Cup,Round 5,Away,Manchester Utd,Derby County,Y,Head,68,4-1,Stephen Bywater,Ryan Giggs,7,24,1
757,11/02/2009,International Frendly,Frendly,Neutral,Portugal,Finland,Y,Right Foot,78,sin dato,J. Jaakelainen,Penalti,7,24,1
758,31/01/2009,Premier League,Matchweek 24,Home,Manchester Utd,Everton,Y,Right Foot,44,1-0,Tim Howard,Penalti,7,24,1
759,27/01/2009,Premier League,Matchweek 23,Away,Manchester Utd,West Brom,Y,Right Foot,65,5-0,Scott Carson,Ryan Giggs,7,23,1
760,27/01/2009,Premier League,Matchweek 23,Away,Manchester Utd,West Brom,Y,Right Foot,73,5-0,Scott Carson,Dimitar Berbatov,7,23,1
761,20/01/2009,EFL Cup,Semi-finals,Home,Manchester Utd,Derby County,N,Right Foot,89,4-2,Roy Carroll,Penalti,7,23,1
