,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
226,2011-05-07,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Right Foot,75,6-2,Javi Varas,Karim Benzema,1,26,7,LW,Win
227,2011-05-07,La Liga,Matchweek 35,Away,Real Madrid,Sevilla,Y,Right Foot,65,6-2,Javi Varas,No assist,1,26,7,LW,Win
228,2011-05-10,La Liga,Matchweek 36,Home,Real Madrid,Getafe,Y,Right Foot,90,4-0,Ãscar Ustari,Penalty,1,26,7,LW,Win
229,2011-05-10,La Liga,Matchweek 36,Home,Real Madrid,Getafe,Y,Left Foot,57,4-0,Ãscar Ustari,Mesut Ozil,1,26,7,LW,Win
230,2011-05-10,La Liga,Matchweek 36,Home,Real Madrid,Getafe,Y,Head,23,4-0,Ãscar Ustari,Mesut Ozil,1,26,7,LW,Win
231,2011-05-15,La Liga,Matchweek 37,Away,Real Madrid,Villarreal,Y,Right Foot,89,3-1,Diego López,Free kick,1,26,7,CF,Win
232,2011-05-15,La Liga,Matchweek 37,Away,Real Madrid,Villarreal,Y,Right Foot,21,3-1,Diego López,Free kick,1,26,7,CF,Win
233,2011-05-21,La Liga,Matchweek 38,Home,Real Madrid,Almería,Y,Right Foot,4,81,Esteban,Sergio Ramos,1,26,7,LW,Win
234,2011-05-21,La Liga,Matchweek 38,Home,Real Madrid,Almería,Y,Right Foot,76,8-1,Esteban,No assist,1,26,7,LW,Win
235,2011-08-10,International Frendly,Frendly,Neutral,Portugal,Luxembourg,Y,Right Foot,26,sin dato,J. Joubert,Free kick,1,26,7,RW,Win
236,2011-08-17,Supercopa De España,Final,Away,Real Madrid,Barcelona,Y,Right Foot,20,2-3,Víctor Valdés,Karim Benzema,1,16,7,LW,Loss
237,2011-08-28,La Liga,Matchweek 2,Away,Real Madrid,Zaragoza,Y,Left Foot,23,6-0,Roberto Jiménez,Mesut Ozil,1,26,7,LW,Win
238,2011-08-28,La Liga,Matchweek 2,Away,Real Madrid,Zaragoza,Y,Right Foot,70,6-0,Roberto Jiménez,Angel Di María,1,26,7,LW,Win
239,2011-08-28,La Liga,Matchweek 2,Away,Real Madrid,Zaragoza,Y,Right Foot,86,6-0,Roberto Jiménez,Kaká,1,26,7,LW,Win
240,2011-09-02,UEFA Euro Qualifying,Group stage,Away,Portugal,Cyprus,Y*,Left Foot,82,1-0,Antonis Georgallides,Nani,1,26,7,LW,Win
241,2011-09-02,UEFA Euro Qualifying,Group stage,Away,Portugal,Cyprus,Y*,Right Foot,35,1-0,Antonis Georgallides,Nani,1,26,7,LW,Win
242,2011-09-10,La Liga,Matchweek 3,Home,Real Madrid,Getafe,Y,Right Foot,59,4-2,Miguel Ángel Moyá,Penalty,1,26,7,LW,Win
243,2011-09-24,La Liga,Matchweek 6,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,84,6-2,Dani Giménez,Penalty,1,26,7,LW,Win
244,2011-09-24,La Liga,Matchweek 6,Home,Real Madrid,Rayo Vallecano,Y,Right Foot,51,6-2,Dani Giménez,Penalty,1,26,7,LW,Win
245,2011-09-24,La Liga,Matchweek 6,Home,Real Madrid,Rayo Vallecano,Y,Left Foot,39,6-2,Dani Giménez,Kaká,1,26,7,LW,Win
246,2011-09-27,Champions League,Group stage,Home,Real Madrid,Ajax,Y,Right Foot,25,3-0,Verneer,Karim Benzema,1,26,7,LW,Win
247,2011-10-11,UEFA Euro Qualifying,Group stage,Away,Portugal,Denmark,Y*,Right Foot,90+2,0-2,Thomas Sorensen,Free kick,1,26,7,LW,Loss
248,2011-10-22,La Liga,Matchweek 9,Away,Real Madrid,Malaga,Y,Right Foot,38,4-0,Rubén,Sergio Ramos,1,26,7,LW,Win
249,2011-10-22,La Liga,Matchweek 9,Away,Real Madrid,Malaga,Y,Right Foot,28,4-0,Rubén,Xabi Alonso,1,26,7,LW,Win
250,2011-10-22,La Liga,Matchweek 9,Away,Real Madrid,Malaga,Y,Left Foot,24,4-0,Rubén,Angel Di María,1,26,7,LW,Win
251,2011-11-02,Champions League,Group stage,Away,Real Madrid,Lyon,Y,Right Foot,69,2-0,Hugo Lloris,Penalty,1,26,7,LW,Win
252,2011-11-02,Champions League,Group stage,Away,Real Madrid,Lyon,Y,Right Foot,24,2-0,Hugo Lloris,Free kick,1,26,7,LW,Win
253,2011-11-06,La Liga,Matchweek 12,Home,Real Madrid,Osasuna,Y,Head,58,7-1,Andrés Fernández,Álvaro Arbeola,1,26,7,LW,Win
254,2011-11-06,La Liga,Matchweek 12,Home,Real Madrid,Osasuna,Y,Right Foot,54,7-1,Andrés Fernández,Penalty,1,26,7,LW,Win
255,2011-11-06,La Liga,Matchweek 12,Home,Real Madrid,Osasuna,Y,Head,22,7-1,Andrés Fernández,Angel Di María,1,26,7,LW,Win
256,2011-11-15,UEFA Euro Qualifying,Play-off Round,Home,Portugal,Bosnia & Herz'na,Y*,Left Foot,53,2-1,Asmir Begovic,Joao Moutinho,1,26,7,LW,Win
257,2011-11-15,UEFA Euro Qualifying,Play-off Round,Home,Portugal,Bosnia & Herz'na,Y*,Right Foot,8,2-1,Asmir Begovic,Free kick,1,26,7,LW,Win
258,2011-11-19,La Liga,Matchweek 13,Away,Real Madrid,Valencia,Y,Right Foot,79,3-2,Diego Alves,Pepe,1,26,7,LW,Win
259,2011-11-26,La Liga,Matchweek 14,Home,Real Madrid,Atletico Madrid,Y,Right Foot,82,4-1,Sergio Asenjo,Penalty,1,26,7,LW,Win
260,2011-11-26,La Liga,Matchweek 14,Home,Real Madrid,Atletico Madrid,Y,Right Foot,24,4-1,Courtois,Penalty,1,26,7,LW,Win
261,2011-12-03,La Liga,Matchweek 15,Away,Real Madrid,Sporting Gijón,Y,Right Foot,64,3-0,Juan Pablo Colinas,Angel Di María,1,26,7,LW,Win
262,2011-12-13,Copa del Rey,Round 4,Away,Real Madrid,Ponferradina,Y,Left Foot,74,2-0,Orlando Quintana,Gonzalo Higuaín,1,26,7,LW,Win
263,2011-12-17,La Liga,Matchweek 17,Away,Real Madrid,Sevilla,Y,Right Foot,36,6-2,Javi Varas,Karim Benzema,1,26,7,LW,Win
264,2011-12-17,La Liga,Matchweek 17,Away,Real Madrid,Sevilla,Y,Right Foot,10,6-2,Javi Varas,Angel Di María,1,26,7,LW,Win
265,2011-12-17,La Liga,Matchweek 17,Away,Real Madrid,Sevilla,Y,Right Foot,83,6-2,Javi Varas,Penalty,1,26,7,LW,Win
266,2012-01-07,La Liga,Matchweek 18,Home,Real Madrid,Granada,Y,Right Foot,88,5-1,Roberto Jiménez,Kaká,1,26,7,LW,Win
267,2012-01-18,Copa del Rey,Quarter-finals,Home,Real Madrid,Barcelona,Y,Left Foot,11,1-2,Pinto,Karim Benzema,1,26,7,LW,Loss
268,2012-01-22,La Liga,Matchweek 1,Home,Real Madrid,Athletic Club,Y,Right Foot,67,4-1,Gorka Iraizoz,Penalty,1,26,7,LW,Win
269,2012-01-22,La Liga,Matchweek 1,Home,Real Madrid,Athletic Club,Y,Right Foot,47,4-1,Gorka Iraizoz,Penalty,1,26,7,LW,Win
270,2012-01-25,Copa del Rey,Quarter-finals,Away,Real Madrid,Barcelona,Y,Right Foot,68,2-2,Pinto,Mesut Ozil,1,26,7,LW,Draw
271,2012-01-28,La Liga,Matchweek 21,Home,Real Madrid,Zaragoza,Y,Right Foot,49,3-1,Roberto Jiménez,Mesut Ozil,1,26,7,LW,Win
272,2012-02-12,La Liga,Matchweek 23,Home,Real Madrid,Levante,Y,Head,50,4-2,Gustavo Munúa,Gonzalo Higuaín,1,27,7,LW,Win
273,2012-02-12,La Liga,Matchweek 23,Home,Real Madrid,Levante,Y,Right Foot,56,4-2,Gustavo Munúa,Fabio Coentrao,1,27,7,LW,Win
274,2012-02-12,La Liga,Matchweek 23,Home,Real Madrid,Levante,Y,Right Foot,44,4-2,Gustavo Munúa,Penalty,1,27,7,LW,Win
275,2012-02-18,La Liga,Matchweek 24,Home,Real Madrid,Racing Sant,Y,Head,6,4-0,Torino,Kaká,1,27,7,LW,Win
276,2012-02-21,Champions League,Round of 16,Away,Real Madrid,CSKA Moscow,Y,Left Foot,28,1-1,Sergey Chepchugov,Fabio Coentrao,1,27,7,LW,Draw
277,2012-02-26,La Liga,Matchweek 25,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,53,1-0,Joel Robles,No assist,1,27,7,LW,Win
278,2012-03-04,La Liga,Matchweek 26,Home,Real Madrid,Espanyol,Y,Left Foot,23,5-0,Kiko Casilla,Gonzalo Higuaín,1,27,7,LW,Win
279,2012-03-10,La Liga,Matchweek 27,Away,Real Madrid,Betis,Y,Left Foot,72,3-2,Fabricio,No assist,1,27,7,LW,Win
280,2012-03-10,La Liga,Matchweek 27,Away,Real Madrid,Betis,Y,Left Foot,51,3-2,Fabricio,Marcelo ,1,27,7,LW,Win
281,2012-03-14,Champions League,Round of 16,Home,Real Madrid,CSKA Moscow,Y,Right Foot,90+4,4-1,Sergey Chepchugov,Karim Benzema,1,27,7,LW,Win
282,2012-03-14,Champions League,Round of 16,Home,Real Madrid,CSKA Moscow,Y,Right Foot,55,4-1,Sergey Chepchugov,Sergio Ramos,1,27,7,LW,Win
283,2012-03-21,La Liga,Matchweek 29,Away,Real Madrid,Villarreal,Y,Right Foot,61,1-1,Diego López,Mesut Ozil,1,27,7,LW,Draw
284,2012-03-24,La Liga,Matchweek 30,Home,Real Madrid,Real Sociedad,Y,Right Foot,56,5-1,Claudio Bravo,Gonzalo Higuaín,1,27,7,LW,Win
285,2012-03-24,La Liga,Matchweek 30,Home,Real Madrid,Real Sociedad,Y,Right Foot,31,5-1,Claudio Bravo,Kaká,1,27,7,LW,Win
286,2012-03-31,La Liga,Matchweek 31,Away,Real Madrid,Osasuna,Y,Right Foot,69,5-1,Andrés Fernández,Free kick,1,27,7,LW,Win
287,2012-03-31,La Liga,Matchweek 31,Away,Real Madrid,Osasuna,Y,Right Foot,36,5-1,Andrés Fernández,Xabi Alonso,1,27,7,LW,Win
288,2012-04-04,Champions League,Quarter-finals,Home,Real Madrid,APOEL FC,Y,Right Foot,75,5-2,Urko Pardo,Free kick,1,27,7,LW,Win
289,2012-04-04,Champions League,Quarter-finals,Home,Real Madrid,APOEL FC,Y,Right Foot,26,5-2,Urko Pardo,Marcelo,1,27,7,LW,Win
290,2012-04-11,La Liga,Matchweek 33,Away,Real Madrid,Atletico Madrid,Y,Right Foot,24,4-1,Thibaut Courtois,Free kick,1,27,7,LW,Win
291,2012-04-11,La Liga,Matchweek 33,Away,Real Madrid,Atletico Madrid,Y,Right Foot,82,4-1,Thibaut Courtois,Penalty,1,27,7,LW,Win
292,2012-04-11,La Liga,Matchweek 33,Away,Real Madrid,Atletico Madrid,Y,Right Foot,67,4-1,Thibaut Courtois,No assist,1,27,7,LW,Win
293,2012-04-14,La Liga,Matchweek 34,Home,Real Madrid,Sporting Gijón,Y,Head,73,3-1,Juan Pablo Colinas,Angel Di María,1,27,7,LW,Win
294,2012-04-21,La Liga,Matchweek 35,Away,Real Madrid,Barcelona,Y,Right Foot,72,2-1,Víctor Valdés,Mesut Ozil,1,27,7,LW,Win
295,2012-04-25,Champions League,Semi-finals,Home,Real Madrid,Bayern Munich,Y,Right Foot,14,4-3,Manuel Neuer,Mesut Ozil,1,27,7,LW,Loss
296,2012-04-25,Champions League,Semi-finals,Home,Real Madrid,Bayern Munich,Y,Right Foot,6,4-3,Manuel Neuer,Penalty,1,27,7,LW,Loss
297,2012-04-29,La Liga,Matchweek 36,Home,Real Madrid,Sevilla,Y,Right Foot,19,3-0,Javi Varas,Karim Benzema,1,27,7,LW,Win
298,2012-05-02,La Liga,Matchweek 20,Away,Real Madrid,Athletic Club,Y,Head,49,3-0,Gorka Iraizoz,Xabi Alonso,1,27,7,LW,Win
299,2012-05-05,La Liga,Matchweek 37,Away,Real Madrid,Granada,Y,Right Foot,81,2-1,Julio César,Penalty,1,27,7,LW,Win
300,2012-05-13,La Liga,Matchweek 38,Home,Real Madrid,Mallorca,Y,Head,18,4-1,Dudu Aouate,Marcelo,1,27,7,LW,Win
301,2012-06-17,UEFA Euro,Group stage,Home,Portugal,Netherlands,Y*,Right Foot,74,1-1,Maarten Stekelenburg,Nani,1,27,7,LW,Win
302,2012-06-17,UEFA Euro,Group stage,Home,Portugal,Netherlands,Y*,Right Foot,28,1-1,Maarten Stekelenburg,Joao Pereira,1,27,7,LW,Win
303,2012-06-21,UEFA Euro,Quarter-finals,Away,Portugal,Czech Republic,Y*,Head,79,0-0,Petr Cech,Joao Moutinho,1,27,7,LW,Win
304,2012-08-15,International Frendly,Frendly,Home,Portugal,Panamá,Y*,Right Foot,51,sin dato,Jaime Penedo,No assist,1,27,7,LW,Win
305,2012-08-23,Supercopa De España,Final,Away,Real Madrid,Barcelona,Y,Head,55,2-3,Víctor Valdés,Mesut Ozil,1,27,7,LW,Loss
306,2012-08-29,Supercopa De España,Final,Home,Real Madrid,Barcelona,Y,Right Foot,19,2-1,Víctor Valdés,Sami Khedira,1,27,7,LW,Win
307,2012-09-02,La Liga,Matchweek 3,Home,Real Madrid,Granada,Y,Left Foot,53,3-0,Toño,Angel Di María,1,27,7,LW,Win
308,2012-09-02,La Liga,Matchweek 3,Home,Real Madrid,Granada,Y,Right Foot,25,3-0,Toño,Jose Callejón,1,27,7,LW,Win
309,2012-09-07,WCQ,First round,Away,Portugal,Luxembourg,Y*,Right Foot,28,0-1,Jonathan Joubert,Joao Moutinho,1,27,7,LW,Win
310,2012-09-18,Champions League,Group stage,Home,Real Madrid,Manchester City,Y,Right Foot,90,3-2,Hart,Marcelo,1,27,7,LW,Win
311,2012-09-24,La Liga,Matchweek 5,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,69,2-0,Rubén,Penalty,1,27,7,LW,Win
312,2012-09-30,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Right Foot,84,5-1,Daniel Aranzubia,Penalty,1,27,7,LW,Win
313,2012-09-30,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Head,44,5-1,Daniel Aranzubia,Sergio Ramos,1,27,7,LW,Win
314,2012-09-30,La Liga,Matchweek 6,Home,Real Madrid,La Coruña,Y,Right Foot,23,5-1,Daniel Aranzubia,Penalty,1,27,7,LW,Win
315,2012-10-03,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,81,4-3,Verneer,Sami Khedira,1,27,7,LW,Win
316,2012-10-03,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,79,4-3,Verneer,Karim Benzema,1,27,7,LW,Win
317,2012-10-03,Champions League,Group stage,Away,Real Madrid,Ajax,Y,Right Foot,42,4-3,Verneer,Karim Benzema,1,27,7,LW,Win
318,2012-10-07,La Liga,Matchweek 7,Away,Real Madrid,Barcelona,Y,Right Foot,66,2-2,Víctor Valdés,Mesut Ozil,1,27,7,LW,Draw
319,2012-10-07,La Liga,Matchweek 7,Away,Real Madrid,Barcelona,Y,Left Foot,22,2-2,Víctor Valdés,Karim Benzema,1,27,7,LW,Draw
320,2012-10-20,La Liga,Matchweek 8,Home,Real Madrid,Celta Vigo,Y,Right Foot,67,2-0,Sergio Álvarez,Penalty,1,27,7,LW,Win
321,2012-10-24,Champions League,Group stage,Away,Real Madrid,Dortmund,Y,Right Foot,38,1-2,Roman Weidenfeller,Mesut Ozil,1,27,7,LW,Loss
322,2012-10-28,La Liga,Matchweek 9,Away,Real Madrid,Mallorca,Y,Right Foot,73,5-0,Dudu Aouate,Gonzalo Higuaín,1,27,7,LW,Win
323,2012-10-28,La Liga,Matchweek 9,Away,Real Madrid,Mallorca,Y,Right Foot,22,5-0,Dudu Aouate,Gonzalo Higuaín,1,27,7,LW,Win
324,2012-11-11,La Liga,Matchweek 11,Away,Real Madrid,Levante,Y,Right Foot,20,2-1,Gustavo Munúa,No assist,1,27,7,CF,Win
325,2012-12-01,La Liga,Matchweek 14,Home,Real Madrid,Atletico Madrid,Y,Right Foot,15,2-0,Thibaut Courtois,Free kick,1,27,7,LW,Win
326,2012-12-04,Champions League,Group stage,Home,Real Madrid,Ajax,Y,Right Foot,13,4-1,Antonio Adán,Karim Benzema,1,27,7,LW,Win
327,2012-12-12,Copa del Rey,Round of 16,Away,Real Madrid,Celta Vigo,Y,Left Foot,87,1-2,Alvarez,Xabi Alonso,1,27,7,LW,Loss
328,2012-12-16,La Liga,Matchweek 16,Home,Real Madrid,Espanyol,Y,Right Foot,44,2-2,Kiko Casilla,Sami Khedira,1,27,7,CF,Draw
329,2013-01-06,La Liga,Matchweek 18,Home,Real Madrid,Real Sociedad,Y,Right Foot,70,4-3,Claudio Bravo,Free kick,1,27,7,LW,Win
330,2013-01-06,La Liga,Matchweek 18,Home,Real Madrid,Real Sociedad,Y,Left Foot,67,4-3,Claudio Bravo,Karim Benzema,1,27,7,LW,Win
331,2013-01-09,Copa del Rey,Round of 16,Home,Real Madrid,Celta Vigo,Y,Left Foot,24,4-0,Alvarez,Luka Modric,1,27,7,LW,Win
332,2013-01-09,Copa del Rey,Round of 16,Home,Real Madrid,Celta Vigo,Y,Left Foot,87,4-0,Alvarez,Gonzalo Higuaín,1,27,7,LW,Win
333,2013-01-09,Copa del Rey,Round of 16,Home,Real Madrid,Celta Vigo,Y,Right Foot,2,4-0,Alvarez,Álvaro Arbeola,1,27,7,LW,Win
334,2013-01-20,La Liga,Matchweek 20,Away,Real Madrid,Valencia,Y,Right Foot,41,5-0,Diego Alves,Mesut Ozil,1,27,7,LW,Win
335,2013-01-20,La Liga,Matchweek 20,Away,Real Madrid,Valencia,Y,Left Foot,35,5-0,Diego Alves,Fabio Coentrao,1,27,7,LW,Win
336,2013-01-27,La Liga,Matchweek 21,Home,Real Madrid,Getafe,Y,Right Foot,71,4-0,Miguel Ángel Moyá,Penalty,1,27,7,LW,Win
337,2013-01-27,La Liga,Matchweek 21,Home,Real Madrid,Getafe,Y,Head,65,4-0,Miguel Ángel Moyá,Angel Di María,1,27,7,LW,Win
338,2013-01-27,La Liga,Matchweek 21,Home,Real Madrid,Getafe,Y,Left Foot,62,4-0,Miguel Ángel Moyá,Mesut Ozil,1,27,7,LW,Win
339,2013-02-06,International Frendly,Frendly,Home,Portugal,Ecuador,Y,Right Foot,23,sin dato,M. Banguera,Fabio Coentrao,1,28,7,LW,Loss
340,2013-02-09,La Liga,Matchweek 23,Home,Real Madrid,Sevilla,Y,Right Foot,58,4-1,Beto,Gonzalo Higuaín,1,28,7,LW,Win
341,2013-02-09,La Liga,Matchweek 23,Home,Real Madrid,Sevilla,Y,Left Foot,46,4-1,Beto,Álvaro Arbeola,1,28,7,LW,Win
342,2013-02-09,La Liga,Matchweek 23,Home,Real Madrid,Sevilla,Y,Left Foot,25,4-1,Beto,Kaká,1,28,7,LW,Win
343,2013-02-13,Champions League,Round of 16,Home,Real Madrid,Manchester Utd,Y,Head,30,2-1,David de Gea,Angel Di María,1,28,7,LW,Draw
344,2013-02-26,Copa del Rey,Semi-finals,Away,Real Madrid,Barcelona,Y,Left Foot,12,3-1,Pinto,Angel Di María,1,28,7,LW,Win
345,2013-02-26,Copa del Rey,Semi-finals,Away,Real Madrid,Barcelona,Y,Right Foot,12,3-1,Pinto,Penalty,1,28,7,LW,Win
346,2013-03-05,Champions League,Round of 16,Away,Real Madrid,Manchester Utd,Y,Right Foot,69,2-1,David de Gea,Gonzalo Higuaín,1,28,7,LW,Win
347,2013-03-10,La Liga,Matchweek 27,Away,Real Madrid,Celta Vigo,Y,Right Foot,71,2-1,Javi Varas,Penalty,1,28,7,LW,Win
348,2013-03-10,La Liga,Matchweek 27,Away,Real Madrid,Celta Vigo,Y,Left Foot,61,2-1,Javi Varas,Jose Callejón,1,28,7,LW,Win
349,2013-03-16,La Liga,Matchweek 28,Home,Real Madrid,Mallorca,Y,Head,51,5-2,Dudu Aouate,Mesut Ozil,1,28,7,LW,Win
350,2013-03-30,La Liga,Matchweek 29,Away,Real Madrid,Zaragoza,Y,Left Foot,38,1-1,Roberto Jiménez,No assist,1,28,7,LW,Draw
351,2013-04-03,Champions League,Quarter-finals,Home,Real Madrid,Galatasaray,Y,Left Foot,9,3-0,Fernando Muslera,Mesut Ozil,1,28,7,LW,Win
352,2013-04-06,La Liga,Matchweek 30,Home,Real Madrid,Levante,N,Right Foot,84,5-1,Gustavo Munua,Gonzalo Higuaín,1,28,7,CF,Win
353,2013-04-09,Champions League,Quarter-finals,Away,Real Madrid,Galatasaray,Y,Right Foot,90+2,2-3,Fernando Muslera,Karim Benzema,1,28,7,LW,Loss
354,2013-04-09,Champions League,Quarter-finals,Away,Real Madrid,Galatasaray,Y,Right Foot,7,2-3,Fernando Muslera,Sami Khedira,1,28,7,LW,Loss
355,2013-04-14,La Liga,Matchweek 31,Away,Real Madrid,Athletic Club,Y,Head,68,3-0,Gorka Iraizoz,Xabi Alonso,1,28,7,LW,Win
356,2013-04-14,La Liga,Matchweek 31,Away,Real Madrid,Athletic Club,Y,Right Foot,2,3-0,Gorka Iraizoz,Free kick,1,28,7,LW,Win
357,2013-04-24,Champions League,Semi-finals,Away,Real Madrid,Dortmund,Y,Right Foot,43,3-2,Roman Weidenfeller,Gonzalo Higuaín,1,28,7,LW,Loss
358,2013-05-04,La Liga,Matchweek 34,Home,Real Madrid,Valladolid,Y,Head,70,3-3,Jaime,Mesut Ozil,1,28,7,LW,Win
359,2013-05-04,La Liga,Matchweek 34,Home,Real Madrid,Valladolid,Y,Head,32,3-3,Jaime,Angel Di María,1,28,7,LW,Win
360,2013-05-08,La Liga,Matchweek 36,Home,Real Madrid,Malaga,Y,Right Foot,26,6-2,Willy Caballero,Xabi Alonso,1,28,7,LW,Win
361,2013-05-17,Copa del Rey,Final,Home,Real Madrid,Atletico Madrid,Y,Head,14,1-2,Thibaut Courtois,Mesut Ozil,1,28,7,LW,Loss
362,2013-06-10,International Frendly,Frendly,Neutral,Portugal,Croacia,Y*,Left Foot,36,sin dato,D. Sbasic,Silvestre Varela,1,28,7,LW,Win
363,2013-08-14,International Frendly,Frendly,Neutral,Portugal,Netherlands,Y*,Left Foot,87,sin dato,M. Vorm,Pepe,1,28,7,LW,Draw
364,2013-09-01,La Liga,Matchweek 3,Home,Real Madrid,Athletic Club,Y,Head,45,3-1,Iago Herrerín,Angel Di María,1,28,7,LW,Win
365,2013-09-06,WCQ,First round,Away,Portugal,Northern Ireland,Y*,Right Foot,83,3-2,Roy Carroll,Free kick,1,28,7,LW,Win
366,2013-09-06,WCQ,First round,Away,Portugal,Northern Ireland,Y*,Head,77,3-2,Roy Carroll,Fabio Coentrao,1,28,7,LW,Win
367,2013-09-06,WCQ,First round,Away,Portugal,Northern Ireland,Y*,Head,68,3-2,Roy Carroll,Joao Moutinho,1,28,7,LW,Win
368,2013-09-14,La Liga,Matchweek 4,Away,Real Madrid,Villarreal,Y,Right Foot,63,2-2,Sergio Asenjo,No assist,1,28,7,LW,Draw
369,2013-09-17,Champions League,Group stage,Away,Real Madrid,Galatasaray,Y,Left Foot,90,6-1,Fernando Muslera,Karim Benzema,1,28,7,LW,Win
370,2013-09-17,Champions League,Group stage,Away,Real Madrid,Galatasaray,Y,Right Foot,66,6-1,Fernando Muslera,No assist,1,28,7,LW,Win
371,2013-09-17,Champions League,Group stage,Away,Real Madrid,Galatasaray,Y,Left Foot,63,6-1,Fernando Muslera,Isco,1,28,7,LW,Win
372,2013-09-22,La Liga,Matchweek 5,Home,Real Madrid,Getafe,Y,Right Foot,89,5-1,Miguel Ángel Moyá,Sami Khedira,1,28,7,LW,Win
373,2013-09-22,La Liga,Matchweek 5,Home,Real Madrid,Getafe,Y,Right Foot,33,5-1,Miguel Ángel Moyá,Penalty,1,28,7,LW,Win
374,2013-09-25,La Liga,Matchweek 6,Away,Real Madrid,Elche,Y,Right Foot,88,2-1,Manu Herrera,Penalty,1,28,7,LW,Win
375,2013-09-25,La Liga,Matchweek 6,Away,Real Madrid,Elche,Y,Right Foot,51,2-1,Manu Herrera,Free kick,1,28,7,LW,Win
376,2013-10-02,Champions League,Group stage,Home,Real Madrid,FC Copenhagen,Y,Head,65,4-0,Johan Sellberg-Wiland,Angel Di María,1,28,7,LW,Win
377,2013-10-02,Champions League,Group stage,Home,Real Madrid,FC Copenhagen,Y,Head,21,4-0,Johan Sellberg-Wiland,Marcelo,1,28,7,LW,Win
378,2013-10-05,La Liga,Matchweek 8,Away,Real Madrid,Levante,Y,Right Foot,90,3-2,Keylor Navas,No assist,1,28,7,LW,Win
379,2013-10-19,La Liga,Matchweek 9,Home,Real Madrid,Malaga,Y,Right Foot,89,2-0,Willy Caballero,No assist,1,28,7,LW,Win
380,2013-10-23,Champions League,Group stage,Home,Real Madrid,Juventus,Y,Right Foot,29,2-1,Gianluigi Buffon,Penalty,1,28,7,LW,Win
381,2013-10-23,Champions League,Group stage,Home,Real Madrid,Juventus,Y,Right Foot,4,2-1,Gianluigi Buffon,Angel Di María,1,28,7,LW,Win
382,2013-10-30,La Liga,Matchweek 11,Home,Real Madrid,Sevilla,Y,Right Foot,71,7-3,Beto,Karim Benzema,1,28,7,LW,Win
383,2013-10-30,La Liga,Matchweek 11,Home,Real Madrid,Sevilla,Y,Right Foot,60,7-3,Beto,Gareth Bale,1,28,7,LW,Win
384,2013-10-30,La Liga,Matchweek 11,Home,Real Madrid,Sevilla,Y,Right Foot,31,7-3,Beto,Penalty,1,28,7,LW,Win
385,2013-11-02,La Liga,Matchweek 12,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,48,3-2,Rubén,Gareth Bale,1,28,7,LW,Win
386,2013-11-02,La Liga,Matchweek 12,Away,Real Madrid,Rayo Vallecano,Y,Right Foot,2,3-2,Rubén,Luka Modric,1,28,7,LW,Win
387,2013-11-05,Champions League,Group stage,Away,Real Madrid,Juventus,Y,Right Foot,52,2-2,Gianluigi Buffon,Karim Benzema,1,28,7,LW,Draw
388,2013-11-09,La Liga,Matchweek 13,Home,Real Madrid,Real Sociedad,Y,Right Foot,76,5-1,Claudio Bravo,Free kick,1,28,7,LW,Win
389,2013-11-09,La Liga,Matchweek 13,Home,Real Madrid,Real Sociedad,Y,Right Foot,26,5-1,Claudio Bravo,Penalty,1,28,7,LW,Win
390,2013-11-09,La Liga,Matchweek 13,Home,Real Madrid,Real Sociedad,Y,Right Foot,11,5-1,Claudio Bravo,Karim Benzema,1,28,7,LW,Win
391,2013-11-15,WCQ,Second round,Home,Portugal,Sweden,Y*,Head,82,0-0,Andreas Isaksson,Miguel Veloso,1,28,7,LW,Win
392,2013-11-19,WCQ,Second round,Away,Portugal,Sweden,Y*,Right Foot,79,2-2,Andreas Isaksson,Joao Moutinho,1,28,7,LW,Win
393,2013-11-19,WCQ,Second round,Away,Portugal,Sweden,Y*,Left Foot,77,2-2,Andreas Isaksson,Hugo Almeida,1,28,7,LW,Win
394,2013-11-19,WCQ,Second round,Away,Portugal,Sweden,Y*,Left Foot,50,2-2,Andreas Isaksson,Joao Moutinho,1,28,7,LW,Win
395,2013-11-23,La Liga,Matchweek 14,Away,Real Madrid,Almería,Y,Left Foot,3,5-0,Esteban,Isco,1,28,7,LW,Win
396,2013-12-10,Champions League,Group stage,Away,Real Madrid,FC Copenhagen,Y,Right Foot,48,2-0,Johan Sellberg-Wiland,Pepe,1,28,7,LW,Win
397,2013-12-22,La Liga,Matchweek 17,Away,Real Madrid,Valencia,Y,Head,39,3-2,Vicente Guaita,Angel Di María,1,28,7,LW,Win
398,2014-01-06,La Liga,Matchweek 18,Home,Real Madrid,Celta Vigo,Y,Right Foot,89,3-0,Yoel,Gareth Bale,1,28,7,LW,Win
