,Date,Competition,Round,Venue,Squad,Opponent,Start,Body Part,Minute,Score,Goalkeeper,Assist,Goal,Age,Jersey,Pos.,Match Result
96,2008-01-12,Premier League,Matchweek 22,Home,Manchester Utd,Newcastle Utd,Y,Left Foot,88,6-0,Shay Given,No assist,1,22,7,RW,Win
97,2008-01-19,Premier League,Matchweek 23,Away,Manchester Utd,Reading,Y,Right Foot,90+3,2-0,Marcus Hahnemann,Darren Fletcher,1,22,7,RW,Win
98,2008-01-27,FA Cup,Round 4,Home,Manchester Utd,Tottenham,Y,Right Foot,69,3-1,Cerny,Michael Dawnson,1,22,7,RW,Win
99,2008-01-27,FA Cup,Round 4,Home,Manchester Utd,Tottenham,Y,Right Foot,88,3-1,Cerny,Ryan Giggs,1,22,7,RW,Win
100,2008-01-30,Premier League,Matchweek 24,Home,Manchester Utd,Portsmouth,Y,Right Foot,13,2-0,David James,Free kick,1,22,7,SS,Win
101,2008-01-30,Premier League,Matchweek 24,Home,Manchester Utd,Portsmouth,Y,Right Foot,10,2-0,David James,Nani,1,22,7,SS,Win
102,2008-02-23,Premier League,Matchweek 27,Away,Manchester Utd,Newcastle Utd,Y,Right Foot,56,5-1,Steve Harper,Darren Fletcher,1,23,7,RW,Win
103,2008-02-23,Premier League,Matchweek 27,Away,Manchester Utd,Newcastle Utd,Y,Right Foot,45,5-1,Shay Given,Michael Carrick,1,23,7,RW,Win
104,2008-03-04,Champions League,Round of 16,Home,Manchester Utd,Lyon,Y,Left Foot,41,1-0,Coupel,No assist,1,23,7,RW,Win
105,2008-03-15,Premier League,Matchweek 30,Away,Manchester Utd,Derby County,Y,Right Foot,76,1-0,Roy Carroll,Wayne Rooney,1,23,7,CF,Win
106,2008-03-19,Premier League,Matchweek 29,Home,Manchester Utd,Bolton,Y,Right Foot,19,2-0,Ali Al-Habsi,No assist,1,23,7,,Win
107,2008-03-19,Premier League,Matchweek 29,Home,Manchester Utd,Bolton,Y,Right Foot,9,2-0,Ali Al-Habsi,No assist,1,23,7,,Win
108,2008-03-23,Premier League,Matchweek 31,Home,Manchester Utd,Liverpool,Y,Head,79,3-0,Pepe Reina,Nani,1,23,7,RW,Win
109,2008-03-29,Premier League,Matchweek 32,Home,Manchester Utd,Aston Villa,Y,Right Foot,17,4-0,Scott Carson,No assist,1,23,7,RW,Win
110,2008-04-01,Champions League,Quarter-finals,Away,Manchester Utd,Roma,Y,Head,39,2-0,Doni,Paul Scholes,1,23,7,CF,Win
111,2008-04-06,Premier League,Matchweek 33,Away,Manchester Utd,Middlesbrough,Y,Left Foot,10,2-2,Mark Schwarzer,Michael Carrick,1,23,7,RW,Draw
112,2008-04-13,Premier League,Matchweek 34,Home,Manchester Utd,Arsenal,Y,Right Foot,54,2-1,Jens Lehmann,Penalty,1,23,7,RW,Win
113,2008-05-03,Premier League,Matchweek 37,Home,Manchester Utd,West Ham,Y,Right Foot,3,4-1,Robert Green,Nani,1,23,7,RW,Win
114,2008-05-03,Premier League,Matchweek 37,Home,Manchester Utd,West Ham,Y,penis ,24,4-1,Robert Green,Owen Hargreaves,1,23,7,RW,Win
115,2008-05-11,Premier League,Matchweek 38,Away,Manchester Utd,Wigan Athletic,Y,Right Foot,33,2-0,Chris Kirkland,Penalty,1,23,7,RW,Win
116,2008-05-21,Champions League,Final,Neutral,Manchester Utd,Chelsea,Y,Head,26,6-5,Cech,Wes Brown,1,23,7,LW,Win
117,2008-06-11,UEFA Euro,Group stage,Away,Portugal,Czech Republic,Y,Right Foot,63,1-1,Petr Cech,Deco,1,23,7,LW,Win
118,2008-09-23,EFL Cup,Round 3,Home,Manchester Utd,Middlesbrough,Y,Head,25,3-1,Brad Jones,Ryan Giggs,1,23,7,CF,Win
119,2008-09-27,Premier League,Matchweek 6,Home,Manchester Utd,Bolton,Y,Right Foot,60,2-0,Jussi Jaaskelainen,Penalty,1,23,7,RW,Win
120,2008-10-18,Premier League,Matchweek 8,Home,Manchester Utd,West Brom,Y,Left Foot,69,4-0,Scott Carson,Wayne Rooney,1,23,7,RW,Win
121,2008-10-29,Premier League,Matchweek 10,Home,Manchester Utd,West Ham,Y,Left Foot,14,2-0,Robert Green,Nani,1,23,7,RW,Win
122,2008-10-29,Premier League,Matchweek 10,Home,Manchester Utd,West Ham,Y,Left Foot,30,2-0,Robert Green,Dimitar Berbatov,1,23,7,RW,Win
123,2008-11-01,Premier League,Matchweek 11,Home,Manchester Utd,Hull City,Y,Head,44,4-3,Boaz Myhill,Nani,1,23,7,RW,Win
